trial,model,virtualnode,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
0,Graph Attention Network,UnidirectionalVirtualClassNode(),2.142448775029997,0.0004436453333675,0.001,0.0021274548295378,0.7403097530347426,0.8622923,0.689252916356416,0.631666,0.6795908057590301,0.614805189911393,,0.7464964985847473,0.4941919147968292,0.6760007276045638,0.4619996363637597
1,Graph Attention Network,VirtualClassNode(),5.519905439357297,2.0208298038308785e-05,1e-05,0.0017357810559027,0.787777312683131,0.9462459087371826,0.6018863241499132,0.7264652848243713,0.5876483960596111,0.5199138303173504,,0.8721876740455627,0.6354246735572815,0.5873968508583507,0.36511056483104
2,Graph Attention Network,VirtualClassNode(),3.831774033530145,0.0015255629321547,0.001,0.0041629246674398,0.7967350355797405,0.995690941810608,0.5656490444278978,0.5427536964416504,0.5548118211669614,0.496470299044101,,0.875,0.6049851179122925,0.5532537826913703,0.4027724203965515
3,Graph Attention Network,VirtualClassNode(),4.734420639763989,0.0002597739444017,1e-06,0.0005957999022173,0.9377982419422352,0.2447778284549713,0.3750310250682551,0.2217151075601577,0.3572871937357919,0.3306959423823351,,0.7545484900474548,0.4540240466594696,0.3310479277423395,0.3151462654102683
4,Graph Attention Network,UnidirectionalVirtualClassNode(),0.4529303536165878,0.2064541579643881,0.0,0.0089509234663595,0.0183340309753034,17.911014556884766,0.0287912633407793,46.29265594482422,0.0286688557716595,0.0009514064541335,,7.004525741649559e-06,4.83400344819529e-06,0.0018283233732046,0.0
5,Graph Attention Network,VirtualClassNode(),4.492698133981189,0.0006931945032495,1e-05,0.0008890407952368,0.9303474257011302,0.3021783232688904,0.4192107222635889,0.1972324848175048,0.4006062136903258,0.3728007005025963,,0.7601059079170227,0.4605256617069244,0.3805635155513087,0.333693249218063
6,Graph Attention Network,VirtualClassNode(),5.067261211489606,0.1566369719611335,0.001,0.0008365889719111,0.8796986186688991,0.4845086336135864,0.4308761479275254,0.3671789169311523,0.414498610760293,0.3476903167809868,,0.9928394556045532,0.6586407423019409,0.3780803945634374,0.2373265545309085
7,Graph Attention Network,VirtualClassNode(),5.7665289878743895,0.035573362015454,0.01,0.000719346077591,0.4831310171619924,4.912899971008301,0.4487465872424919,2.935956716537476,0.4271280626420813,0.3484984700271122,,0.9322271347045898,0.6714880466461182,0.4218008755255716,0.256557908855591
8,Graph Attention Network,UnidirectionalVirtualClassNode(),7.326347675483593,0.0029611519734147,0.001,0.0074938426496262,0.0008371703641691,23.69198226928711,0.0464135021097046,23.669681549072266,0.0468552664814347,0.0012788032332006,,-2.3816811278720706e-07,-1.3714895885641454e-10,0.0041943066388254,0.0
9,Graph Attention Network,UnidirectionalVirtualClassNode(),9.997583639475954,0.0124118432405869,0.0001,0.0008031069169481,0.6179154457932189,1.798226237297058,0.6083395383469844,1.499748945236206,0.5972467794897701,0.5246742385733197,,0.7126674056053162,0.5002706050872803,0.5979935028204754,0.3732852038416103
