Graph Attention Network_layers4_neurons476,GraphSAGE_layers4_neurons256,GIN_layers4_neurons415
0.3016363773471081,1.0783500490159112,1.138677324485333
4.788477490385341,4.464218384737199,6.794359399743609
4.690445667747531,4.147500188522736,8.981223135510144
5.0750320488650935,3.1747228715783122,11.213332327878742
8.619259482693613,3.966518362114471,15.111982505090113
4.1097956413543475,0.15081818867355404,21.770605535027524
4.720609305482242,5.798959354498153,24.10828745946761
6.605836663901667,7.812382173290098,26.988914863132496
3.5065228866601315,2.873086494231204,29.650855893220722
9.923836814719856,1.96817736218988,31.226905964859363
8.340245833647538,8.589095844958901,33.021642410074655
8.95860040720911,5.293718422441747,35.53276525148933
9.260236784556218,2.880627403664882,36.94291531558706
8.69466857703039,3.0691501395068244,38.44355629288893
16.552296206922552,6.801900309177286,39.31830178719554
14.85559158434507,8.076314003468818,40.502224568282934
13.92051881456904,11.281200512781842,41.88221099464595
13.272000603272755,13.475605157982052,43.02088831913129
22.977151044415955,13.505768795716763,43.661865620993886
20.01357363698062,14.27494155795189,45.735615715255264
24.11582836890129,16.552296206922552,47.45494306613377
27.599728527260385,16.348691652213258,48.30706583213936
29.175778598899026,16.79360530880024,48.405097654777165
35.698665259030236,16.6050825729583,50.041475001885225
37.71208807782219,19.176532689842396,50.77294321695196
39.98944272679285,20.352914561496117,50.9313023150592
40.77369730789533,20.322750923761408,51.700475077294314
45.08709750395898,21.0014327727924,52.17555237161602
47.583138526506296,26.54400120654551,53.487670613075935
49.02345222833874,27.878742176306464,52.95226604328482
51.647688711258574,28.723324032878367,54.400120654550946
51.75326144333007,30.223965010180226,54.264384284744736
54.18143428097429,35.60063343639243,55.54633888846995
56.71517985068999,37.9081517230978,55.357816152628004
57.00173440916975,38.368147198552144,56.2401025563683
58.35909810723173,41.995324636151125,55.99125254505694
59.7541663524621,45.59233843601538,56.61714802805218
60.18399819018173,48.02805218309328,57.24304351104743
61.50365734107533,50.267702284895556,57.58992534499661
62.58954829952492,51.95686599803936,57.160093507276976
63.44921197496418,53.970288816831314,58.10270718648669
64.58788929944951,54.92798431490837,58.54762084307368
64.55018475228113,56.398461654475526,59.63351180152326
64.97247568056707,56.12698891486313,59.3167936053088
65.79443480883795,56.61714802805218,59.58072543548752
66.60885302767514,58.40434356383379,60.16891637131438
67.21212578236936,58.9095844958902,60.643993665636074
68.09441218610964,59.92760726943669,60.25186637508484
68.57703038986502,60.877761858080085,60.78727094487595
68.44129402005882,61.26988914863133,61.02858004675363
69.45931679360531,62.40856647311666,61.51873915994269
69.53472588794209,62.89118467687204,61.44333006560592
70.2435713747078,63.48691652213256,61.62431189201417
70.02488500113114,64.29379383153608,62.468893748586076
70.26619410300883,64.30887565040344,62.11447100520323
71.00520322750924,64.88952567679662,63.215443782520175
69.94947590679436,65.12329386924063,62.97413468064249
70.1379986426363,65.96033481637885,63.268230148555915
69.05210768418671,66.48065756730261,63.592489254204054
71.53306688786668,66.73704848804766,63.74330744287761
71.07307141241233,67.76261217102783,63.64527562023981
71.50290325013196,67.51376215971646,64.37674383530654
71.36716688032577,67.77769398989518,64.23346655606666
71.81208053691275,67.3704848804766,64.61805293718422
72.1363396425609,68.99932131815096,65.11575295980695
72.15896237086193,68.38850765402307,64.8593620390619
72.42289420104065,68.57703038986502,65.77935298997059
73.02616695573487,69.021944046452,65.14591659754167
73.29009878591359,69.82882135585552,65.68886207676647
73.29763969534726,70.19078500867204,65.8472211748737
73.26747605761254,70.7488123067642,65.83213935600634
73.35796697081668,70.6432395746927,66.1790211899555
74.25533519342433,71.02782595581027,66.3147575597617
73.5540306160923,71.36716688032577,66.51082120503733
74.51926702360304,71.1560214161828,66.74458939748133
74.029107910414,72.0609305482241,66.12623482391976
73.87828972174044,71.27667596712163,66.91048940502225
74.3684488349295,72.54354875197949,66.29967574089434
74.44385792926627,71.86486690294849,67.197043963502
74.6700852122766,72.34748510670387,66.81999849181811
74.32320337832743,72.93567604253073,66.39016665409848
75.03204886509313,73.116657868939,66.81999849181811
75.6881079858231,73.17698514440842,67.430812155946
74.86614885755222,73.37304878968403,67.8078576276299
74.65500339340925,74.48910338586833,67.38556669934394
75.1451625065983,74.1950079179549,67.61933489178796
75.1451625065983,74.54188975190408,68.02654400120655
75.3487670613076,73.64452152929644,67.98883945403816
75.55991252545057,74.85106703868487,68.09441218610964
75.3789306990423,75.39401251790966,68.44883492949249
75.57499434431793,74.76057612548074,67.93605308800241
76.39695347258879,75.3789306990423,68.77309403514063
75.01696704622577,75.53728979714953,69.09735314078877
76.29138074051731,75.74089435185883,69.17276223512555
75.20548978206772,75.74843526129251,69.22554860116131
75.41663524621069,75.90679435939974,69.0596485936204
76.06515345750697,76.87957167634417,70.01734409169745
75.89925344996607,76.61563984616545,69.74587135208506
76.14810346127743,76.21597164618052,70.0701304577332
76.08777618580801,77.03038986501772,70.30389865017722
76.65334439333384,76.90973531407887,70.22848955584044
76.44219892919087,77.12088077822186,69.99472136339642
76.69104894050223,77.14350350652288,69.94947590679436
75.56745343488424,78.0182490008295,70.49242138601916
76.45728074805822,77.61103989141091,70.94487595203982
77.14350350652288,78.10119900459995,70.5829122992233
77.01530804615037,78.44053992911545,70.72618957846316
77.36973078953322,78.34250810647764,70.65832139356006
77.44513988387,78.71955357816152,71.08061232184602
77.13596259708922,78.591358117789,71.29175778598899
76.90973531407887,78.9985672272076,71.51044415956565
75.98220345373652,78.85528994796772,71.3596259708921
75.2431943292361,79.87331272151421,71.6989668954076
75.02450795565944,79.4057763366262,71.50290325013196
75.19794887263403,79.12676268758013,72.2343714651987
75.79368071789457,79.73757635170801,71.78945780861173
76.92481713294623,80.5218309328105,71.54060779730035
75.95958072543549,79.64708543850388,71.21634869165221
77.34710806123218,80.22773546489707,72.12125782369354
76.51006711409396,80.67264912148406,72.15142146142824
77.46022170273736,80.33330819696856,72.36256692557123
77.34710806123218,80.22773546489707,71.78191689917804
77.25661714802806,81.01199004599955,72.21928964633135
77.57333534424251,81.20805369127517,72.46813965764272
77.68644898574767,81.12510368750472,72.88288967649498
77.99562627252847,81.19297187240781,72.66420330291832
77.43759897443631,81.01199004599955,72.76223512555615
78.02578991026317,82.241158283689,72.87534876706131
78.37267174421235,81.11002186863736,72.92059422366337
77.912676268758,82.13558555161752,73.116657868939
78.8628308574014,82.007390091245,73.00354422743382
78.18414900837041,81.88673554030616,73.69730789533217
78.48578538571752,82.8218083100822,73.07141241233693
77.66382625744664,82.02247191011236,73.8933715406078
77.94283990649272,82.61066284593922,73.52386697835759
78.42545811024809,82.81426740064852,73.77271698966895
77.41497624613528,82.89721740441898,73.8556669934394
78.31988537817661,83.40245833647538,74.21763064625594
78.52348993288591,82.98016740818943,74.25533519342433
78.71201266872785,83.22147651006712,74.2327124651233
78.27463992157455,83.53819470628157,74.45893974813362
77.93529899705905,83.49294924967951,75.16778523489933
78.73463539702888,84.20179473644521,74.35336701606214
78.72709448759521,84.14146746097579,74.60975793680717
78.74971721589624,84.09622200437373,74.11959882361813
