Graph Attention Network_layers4_neurons476,GraphSAGE_layers4_neurons256,GIN_layers4_neurons415
4.24801778793335,4.2494916915893555,4.392641067504883
4.179019451141357,4.092906475067139,4.271430015563965
6.397622108459473,7.129716396331787,4.054073333740234
4.276170253753662,4.087960720062256,3.817544937133789
4.205624103546143,4.2077813148498535,3.3776895999908447
4.40249490737915,4.412437438964844,3.180311679840088
4.0920233726501465,4.032470226287842,3.0518698692321777
4.269752025604248,4.517365455627441,2.930469274520874
5.254734992980957,5.600268840789795,2.802172899246216
3.6724741458892822,6.406966209411621,2.6920433044433594
4.115006446838379,4.184030532836914,2.5778439044952393
4.545234203338623,4.751852035522461,2.4687728881835938
4.405092716217041,4.788951873779297,2.400606632232666
4.170105934143066,4.405388832092285,2.3242201805114746
3.579576253890991,4.26846170425415,2.2660014629364014
3.4721031188964844,4.130718231201172,2.2130942344665527
3.2633426189422607,3.7512049674987793,2.157259225845337
3.2592530250549316,3.6804609298706055,2.111300230026245
3.0642127990722656,3.5225577354431152,2.0523030757904053
2.9760775566101074,3.4360642433166504,2.0132856369018555
2.882214307785034,3.2932801246643066,1.966273307800293
2.730151891708374,3.226034641265869,1.9144577980041504
2.5561234951019287,3.2255897521972656,1.9085979461669922
2.3744704723358154,3.1261191368103027,1.8589173555374146
2.306278944015503,3.041551113128662,1.8217417001724243
2.22210431098938,3.004828453063965,1.8181071281433105
2.177250385284424,2.9556562900543213,1.7669332027435303
2.0514702796936035,2.92935848236084,1.7461256980895996
1.974915623664856,2.7816967964172363,1.7148693799972534
1.9173156023025513,2.7110655307769775,1.7112699747085571
1.8311160802841187,2.6684279441833496,1.6790645122528076
1.8066051006317139,2.582437515258789,1.6515254974365234
1.7430000305175781,2.458608388900757,1.6153321266174316
1.651381492614746,2.382349967956543,1.6251170635223389
1.6243189573287964,2.305973529815674,1.5912491083145142
1.5667567253112793,2.211290121078491,1.5847622156143188
1.5300766229629517,2.0969924926757812,1.5584436655044556
1.489844560623169,2.0008926391601562,1.551080346107483
1.4264999628067017,1.9342833757400513,1.5276074409484863
1.4031872749328613,1.8652268648147583,1.5333563089370728
1.356279969215393,1.8025637865066528,1.4918016195297241
1.3297265768051147,1.7397584915161133,1.493971347808838
1.2942835092544556,1.6942328214645386,1.4578166007995605
1.2625470161437988,1.6583319902420044,1.4439421892166138
1.2463233470916748,1.6262205839157104,1.431546688079834
1.2074397802352905,1.5930051803588867,1.4191287755966187
1.1937204599380493,1.5482308864593506,1.414981722831726
1.16294264793396,1.508054494857788,1.390202283859253
1.1430387496948242,1.4927161931991577,1.3869314193725586
1.1321263313293457,1.4625823497772217,1.3729867935180664
1.1091556549072266,1.411973476409912,1.3621944189071655
1.1001319885253906,1.3756260871887207,1.3415822982788086
1.0694363117218018,1.3589539527893066,1.349075198173523
1.069610357284546,1.3293228149414062,1.3198834657669067
1.0526189804077148,1.3161760568618774,1.3358641862869263
1.0403289794921875,1.290732741355896,1.2994723320007324
