,precision,recall,f1-score,support
0,0.5384615384615384,0.6588235294117647,0.5925925925925926,85.0
1,0.0,0.0,0.0,17.0
2,0.5494505494505495,0.625,0.5847953216374269,80.0
3,0.546583850931677,0.704,0.6153846153846154,125.0
4,0.0,0.0,0.0,21.0
5,0.6666666666666666,0.6534653465346535,0.66,101.0
6,0.864406779661017,0.7669172932330827,0.8127490039840637,133.0
7,0.45454545454545453,0.684931506849315,0.5464480874316939,219.0
8,0.5303030303030303,0.4430379746835443,0.4827586206896552,79.0
9,0.7941176470588235,0.7168141592920354,0.7534883720930233,113.0
10,0.35555555555555557,0.34782608695652173,0.3516483516483516,46.0
11,0.3333333333333333,0.21621621621621623,0.26229508196721313,74.0
12,0.0,0.0,0.0,34.0
13,0.49321266968325794,0.6337209302325582,0.55470737913486,172.0
14,0.6666666666666666,0.8035714285714286,0.7287449392712549,112.0
15,0.4186046511627907,0.391304347826087,0.4044943820224719,46.0
16,0.4864864864864865,0.47368421052631576,0.4799999999999999,38.0
17,0.5,0.1891891891891892,0.2745098039215686,37.0
18,0.8125,0.5,0.6190476190476191,26.0
19,0.6139240506329114,0.6736111111111112,0.6423841059602649,144.0
20,0.512987012987013,0.5683453237410072,0.5392491467576791,139.0
21,0.59375,0.4523809523809524,0.5135135135135135,84.0
22,0.55,0.6423357664233577,0.5925925925925927,137.0
23,0.2,0.015384615384615385,0.028571428571428574,65.0
24,0.5523809523809524,0.5272727272727272,0.5395348837209303,110.0
25,0.7857142857142857,0.4230769230769231,0.55,104.0
26,0.6136363636363636,0.2872340425531915,0.391304347826087,94.0
27,0.5634146341463414,0.8953488372093024,0.6916167664670659,258.0
28,0.3333333333333333,0.13513513513513514,0.1923076923076923,37.0
29,0.7701149425287356,0.8701298701298701,0.8170731707317073,154.0
30,0.42424242424242425,0.3835616438356164,0.40287769784172656,73.0
31,0.4426229508196721,0.6532258064516129,0.5276872964169381,124.0
32,0.6176470588235294,0.4117647058823529,0.4941176470588236,51.0
33,0.7465277777777778,0.7624113475177305,0.7543859649122806,282.0
34,0.5103448275862069,0.7789473684210526,0.6166666666666667,190.0
35,0.0,0.0,0.0,28.0
36,0.5833333333333334,0.5051546391752577,0.5414364640883977,97.0
37,0.7962962962962963,0.7962962962962963,0.7962962962962963,54.0
38,0.0,0.0,0.0,41.0
39,0.7888888888888889,0.7634408602150538,0.7759562841530053,186.0
40,0.5504587155963303,0.6521739130434783,0.5970149253731343,92.0
41,0.4946236559139785,0.6764705882352942,0.5714285714285714,68.0
42,0.28,0.22580645161290322,0.25,31.0
43,1.0,0.11764705882352941,0.21052631578947367,17.0
44,0.78125,0.5813953488372093,0.6666666666666666,43.0
45,0.6097560975609756,0.4098360655737705,0.4901960784313726,122.0
46,0.2571428571428571,0.225,0.24,40.0
47,1.0,0.08333333333333333,0.15384615384615385,24.0
48,0.5707317073170731,0.6358695652173914,0.6015424164524422,184.0
49,0.5272727272727272,0.6170212765957447,0.5686274509803921,94.0
50,0.0,0.0,0.0,24.0
51,0.5636363636363636,0.7524271844660194,0.6444906444906444,206.0
52,0.4146341463414634,0.5151515151515151,0.4594594594594595,165.0
53,0.7408906882591093,0.8551401869158879,0.7939262472885034,214.0
54,0.0,0.0,0.0,33.0
55,0.660377358490566,0.6730769230769231,0.6666666666666667,156.0
56,0.7840909090909091,0.6448598130841121,0.7076923076923077,107.0
57,0.6829268292682927,0.7320261437908496,0.7066246056782334,306.0
58,0.4222222222222222,0.2714285714285714,0.33043478260869563,70.0
59,0.7551020408163265,0.7474747474747475,0.7512690355329948,99.0
60,0.8,0.7368421052631579,0.7671232876712328,38.0
61,0.4444444444444444,0.4383561643835616,0.4413793103448276,73.0
62,0.6086956521739131,0.25925925925925924,0.36363636363636365,54.0
63,0.6511627906976745,0.2916666666666667,0.4028776978417266,96.0
64,0.5555555555555556,0.3125,0.39999999999999997,48.0
65,0.0,0.0,0.0,30.0
66,0.36363636363636365,0.26666666666666666,0.30769230769230765,45.0
67,0.0,0.0,0.0,28.0
68,0.0,0.0,0.0,5.0
69,0.0,0.0,0.0,10.0
accuracy,0.5913962033067973,0.5913962033067973,0.5913962033067973,0.5913962033067973
macro avg,0.49326664483617244,0.44392842486623524,0.44606224903259534,6532.0
weighted avg,0.573529104298507,0.5913962033067973,0.5681745035224146,6532.0
minorities-f1,0.481240946529988,0.4741056665316911,0.46830241383933363,85.1
