,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.7238805970149254,0.7034482758620689,0.881578947368421,0.7986577181208053,0.8565737051792829,0.8166666666666667,0.826530612244898,0.8058645096056622,0.8010480746367241,0.8099721285784556
recall,0.8290598290598291,0.7669172932330827,0.8993288590604027,0.815068493150685,0.7597173144876325,0.765625,0.8350515463917526,0.8058645096056622,0.8101097621976263,0.8058645096056622
f1-score,0.7729083665338645,0.7338129496402878,0.8903654485049833,0.8067796610169492,0.8052434456928839,0.7903225806451613,0.8307692307692307,0.8058645096056622,0.8043145261147657,0.8064012529821327
support,117.0,133.0,149.0,146.0,283.0,64.0,97.0,0.8058645096056622,989.0,989.0
