,precision,recall,f1-score,support
0,0.8032786885245902,0.5764705882352941,0.6712328767123288,85.0
1,0.6363636363636364,0.4117647058823529,0.5,17.0
2,0.5876288659793815,0.7125,0.6440677966101694,80.0
3,0.8390804597701149,0.584,0.6886792452830188,125.0
4,0.5454545454545454,0.8571428571428571,0.6666666666666665,21.0
5,0.7272727272727273,0.7128712871287128,0.7200000000000001,101.0
6,0.8074074074074075,0.8195488721804511,0.8134328358208956,133.0
7,0.5602409638554217,0.4246575342465753,0.4831168831168831,219.0
8,0.7352941176470589,0.6329113924050633,0.6802721088435374,79.0
9,0.7758620689655172,0.7964601769911505,0.7860262008733625,113.0
10,0.6666666666666666,0.391304347826087,0.4931506849315068,46.0
11,0.7692307692307693,0.40540540540540543,0.5309734513274337,74.0
12,0.3111111111111111,0.4117647058823529,0.35443037974683544,34.0
13,0.5781990521327014,0.7093023255813954,0.6370757180156659,172.0
14,0.6428571428571429,0.8035714285714286,0.7142857142857142,112.0
15,0.576271186440678,0.7391304347826086,0.6476190476190476,46.0
16,0.6666666666666666,0.47368421052631576,0.5538461538461538,38.0
17,0.5277777777777778,0.5135135135135135,0.5205479452054794,37.0
18,0.6666666666666666,0.46153846153846156,0.5454545454545455,26.0
19,0.6413793103448275,0.6458333333333334,0.643598615916955,144.0
20,0.541095890410959,0.5683453237410072,0.5543859649122806,139.0
21,0.48214285714285715,0.6428571428571429,0.5510204081632654,84.0
22,0.6636363636363637,0.5328467153284672,0.5910931174089069,137.0
23,0.4852941176470588,0.5076923076923077,0.49624060150375937,65.0
24,0.7303370786516854,0.5909090909090909,0.6532663316582914,110.0
25,0.7727272727272727,0.49038461538461536,0.6,104.0
26,0.41007194244604317,0.6063829787234043,0.4892703862660945,94.0
27,0.5747126436781609,0.7751937984496124,0.6600660066006601,258.0
28,0.4411764705882353,0.40540540540540543,0.4225352112676056,37.0
29,0.7360406091370558,0.9415584415584416,0.8262108262108262,154.0
30,0.6557377049180327,0.547945205479452,0.5970149253731344,73.0
31,0.6146788990825688,0.5403225806451613,0.575107296137339,124.0
32,0.48936170212765956,0.45098039215686275,0.46938775510204084,51.0
33,0.7638376383763837,0.7340425531914894,0.7486437613019892,282.0
34,0.8013698630136986,0.6157894736842106,0.6964285714285715,190.0
35,0.42105263157894735,0.2857142857142857,0.3404255319148936,28.0
36,0.671875,0.44329896907216493,0.5341614906832298,97.0
37,0.8297872340425532,0.7222222222222222,0.7722772277227723,54.0
38,0.5862068965517241,0.4146341463414634,0.48571428571428565,41.0
39,0.7053571428571429,0.8494623655913979,0.7707317073170732,186.0
40,0.7471264367816092,0.7065217391304348,0.7262569832402235,92.0
41,0.6438356164383562,0.6911764705882353,0.6666666666666666,68.0
42,0.5405405405405406,0.6451612903225806,0.588235294117647,31.0
43,0.4444444444444444,0.23529411764705882,0.30769230769230765,17.0
44,0.7142857142857143,0.813953488372093,0.7608695652173914,43.0
45,0.7419354838709677,0.3770491803278688,0.5,122.0
46,0.15942028985507245,0.55,0.24719101123595502,40.0
47,0.75,0.75,0.75,24.0
48,0.5738396624472574,0.7391304347826086,0.6460807600950119,184.0
49,0.6527777777777778,0.5,0.5662650602409639,94.0
50,0.5,0.5416666666666666,0.52,24.0
51,0.41262135922330095,0.8252427184466019,0.5501618122977346,206.0
52,0.5170068027210885,0.46060606060606063,0.4871794871794872,165.0
53,0.8101851851851852,0.8177570093457944,0.813953488372093,214.0
54,0.3111111111111111,0.42424242424242425,0.3589743589743589,33.0
55,0.7225806451612903,0.717948717948718,0.720257234726688,156.0
56,0.7282608695652174,0.6261682242990654,0.6733668341708543,107.0
57,0.7737556561085973,0.5588235294117647,0.6489563567362429,306.0
58,0.3697478991596639,0.6285714285714286,0.46560846560846564,70.0
59,0.8125,0.6565656565656566,0.7262569832402236,99.0
60,0.8,0.631578947368421,0.7058823529411765,38.0
61,0.5333333333333333,0.4383561643835616,0.48120300751879697,73.0
62,0.5365853658536586,0.4074074074074074,0.4631578947368421,54.0
63,0.7659574468085106,0.375,0.5034965034965035,96.0
64,0.5833333333333334,0.5833333333333334,0.5833333333333334,48.0
65,0.5,0.3,0.37499999999999994,30.0
66,0.8333333333333334,0.2222222222222222,0.3508771929824561,45.0
67,0.16666666666666666,0.10714285714285714,0.13043478260869565,28.0
68,0.0,0.0,0.0,5.0
69,0.7,0.7,0.7,10.0
accuracy,0.6241579914268218,0.6241579914268218,0.6241579914268218,0.6241579914268218
macro avg,0.6112342109107978,0.5682897669207775,0.5735116573484763,6532.0
weighted avg,0.6528750530434284,0.6241579914268218,0.6239466285796924,6532.0
minorities-f1,0.6532354915567705,0.6041687790586681,0.6147238435138099,85.1
