,precision,recall,f1-score,support
0,0.7073170731707317,0.6823529411764706,0.6946107784431137,85.0
1,0.5384615384615384,0.4117647058823529,0.4666666666666667,17.0
2,0.6764705882352942,0.575,0.6216216216216216,80.0
3,0.7547169811320755,0.64,0.6926406926406927,125.0
4,0.75,0.42857142857142855,0.5454545454545454,21.0
5,0.7380952380952381,0.6138613861386139,0.6702702702702702,101.0
6,0.8560606060606061,0.849624060150376,0.8528301886792453,133.0
7,0.6190476190476191,0.5342465753424658,0.573529411764706,219.0
8,0.6716417910447762,0.569620253164557,0.6164383561643836,79.0
9,0.6984126984126984,0.7787610619469026,0.7364016736401673,113.0
10,0.5151515151515151,0.3695652173913043,0.43037974683544306,46.0
11,0.5454545454545454,0.5675675675675675,0.5562913907284768,74.0
12,0.3333333333333333,0.3235294117647059,0.3283582089552239,34.0
13,0.6158536585365854,0.5872093023255814,0.6011904761904763,172.0
14,0.6896551724137931,0.7142857142857143,0.7017543859649122,112.0
15,0.5416666666666666,0.5652173913043478,0.5531914893617021,46.0
16,0.5111111111111111,0.6052631578947368,0.5542168674698796,38.0
17,0.5238095238095238,0.5945945945945946,0.5569620253164557,37.0
18,0.5555555555555556,0.5769230769230769,0.5660377358490566,26.0
19,0.58,0.6041666666666666,0.5918367346938774,144.0
20,0.5433526011560693,0.6762589928057554,0.6025641025641025,139.0
21,0.6105263157894737,0.6904761904761905,0.6480446927374303,84.0
22,0.5434782608695652,0.5474452554744526,0.5454545454545454,137.0
23,0.4,0.46153846153846156,0.42857142857142855,65.0
24,0.7272727272727273,0.6545454545454545,0.6889952153110048,110.0
25,0.5546218487394958,0.6346153846153846,0.5919282511210763,104.0
26,0.6190476190476191,0.5531914893617021,0.5842696629213483,94.0
27,0.6622516556291391,0.7751937984496124,0.7142857142857143,258.0
28,0.35,0.3783783783783784,0.36363636363636365,37.0
29,0.8301886792452831,0.8571428571428571,0.8434504792332269,154.0
30,0.6290322580645161,0.5342465753424658,0.5777777777777777,73.0
31,0.5348837209302325,0.5564516129032258,0.5454545454545455,124.0
32,0.5238095238095238,0.43137254901960786,0.4731182795698925,51.0
33,0.7326388888888888,0.74822695035461,0.7403508771929824,282.0
34,0.6683417085427136,0.7,0.6838046272493574,190.0
35,0.17647058823529413,0.10714285714285714,0.13333333333333333,28.0
36,0.7142857142857143,0.6185567010309279,0.6629834254143646,97.0
37,0.7758620689655172,0.8333333333333334,0.8035714285714286,54.0
38,0.5102040816326531,0.6097560975609756,0.5555555555555556,41.0
39,0.7925531914893617,0.8010752688172043,0.7967914438502672,186.0
40,0.7340425531914894,0.75,0.7419354838709676,92.0
41,0.6461538461538462,0.6176470588235294,0.6315789473684211,68.0
42,0.425,0.5483870967741935,0.47887323943661964,31.0
43,0.4166666666666667,0.29411764705882354,0.3448275862068966,17.0
44,0.7073170731707317,0.6744186046511628,0.6904761904761904,43.0
45,0.5555555555555556,0.5327868852459017,0.5439330543933054,122.0
46,0.3469387755102041,0.425,0.38202247191011235,40.0
47,0.625,0.625,0.625,24.0
48,0.5727699530516432,0.6630434782608695,0.6146095717884131,184.0
49,0.6417910447761194,0.4574468085106383,0.5341614906832297,94.0
50,0.4583333333333333,0.4583333333333333,0.4583333333333333,24.0
51,0.6244541484716157,0.6941747572815534,0.657471264367816,206.0
52,0.5408805031446541,0.5212121212121212,0.5308641975308641,165.0
53,0.8009259259259259,0.8084112149532711,0.8046511627906977,214.0
54,0.25806451612903225,0.24242424242424243,0.25,33.0
55,0.7450980392156863,0.7307692307692307,0.7378640776699028,156.0
56,0.7075471698113207,0.7009345794392523,0.704225352112676,107.0
57,0.7152103559870551,0.7222222222222222,0.71869918699187,306.0
58,0.5294117647058824,0.5142857142857142,0.5217391304347826,70.0
59,0.7079646017699115,0.8080808080808081,0.7547169811320754,99.0
60,0.78125,0.6578947368421053,0.7142857142857143,38.0
61,0.48936170212765956,0.3150684931506849,0.3833333333333333,73.0
62,0.4634146341463415,0.35185185185185186,0.4000000000000001,54.0
63,0.55,0.5729166666666666,0.5612244897959183,96.0
64,0.46153846153846156,0.625,0.5309734513274336,48.0
65,0.4166666666666667,0.3333333333333333,0.3703703703703704,30.0
66,0.425,0.37777777777777777,0.3999999999999999,45.0
67,0.2692307692307692,0.25,0.2592592592592593,28.0
68,0.0,0.0,0.0,5.0
69,0.6363636363636364,0.7,0.6666666666666666,10.0
accuracy,0.6371708511941212,0.6371708511941212,0.6371708511941212,0.6371708511941212
macro avg,0.5796084052133027,0.5676230197762031,0.5700960146293361,6532.0
weighted avg,0.6374253556440747,0.6371708511941212,0.6348853695102887,6532.0
minorities-f1,0.6210907607846604,0.5796062256545731,0.5955341633355458,85.1
