,precision,recall,f1-score,support
0,0.7534246575342466,0.6470588235294118,0.6962025316455697,85.0
1,0.4166666666666667,0.8823529411764706,0.5660377358490566,17.0
2,0.6046511627906976,0.65,0.6265060240963854,80.0
3,0.7297297297297297,0.648,0.6864406779661018,125.0
4,0.5555555555555556,0.7142857142857143,0.6250000000000001,21.0
5,0.6990291262135923,0.7128712871287128,0.7058823529411765,101.0
6,0.873015873015873,0.8270676691729323,0.8494208494208495,133.0
7,0.6431718061674009,0.6666666666666666,0.6547085201793722,219.0
8,0.7027027027027027,0.6582278481012658,0.6797385620915033,79.0
9,0.7798165137614679,0.7522123893805309,0.7657657657657656,113.0
10,0.6774193548387096,0.45652173913043476,0.5454545454545454,46.0
11,0.6025641025641025,0.6351351351351351,0.6184210526315789,74.0
12,0.5,0.4117647058823529,0.45161290322580644,34.0
13,0.6585365853658537,0.627906976744186,0.6428571428571429,172.0
14,0.7606837606837606,0.7946428571428571,0.7772925764192139,112.0
15,0.5245901639344263,0.6956521739130435,0.5981308411214953,46.0
16,0.5263157894736842,0.7894736842105263,0.631578947368421,38.0
17,0.5714285714285714,0.6486486486486487,0.6075949367088608,37.0
18,0.6190476190476191,0.5,0.5531914893617021,26.0
19,0.6153846153846154,0.7222222222222222,0.6645367412140575,144.0
20,0.6538461538461539,0.6115107913669064,0.6319702602230483,139.0
21,0.6329113924050633,0.5952380952380952,0.6134969325153375,84.0
22,0.6818181818181818,0.656934306569343,0.6691449814126393,137.0
23,0.6896551724137931,0.6153846153846154,0.6504065040650407,65.0
24,0.6724137931034483,0.7090909090909091,0.6902654867256638,110.0
25,0.5476190476190477,0.6634615384615384,0.6,104.0
26,0.7123287671232876,0.5531914893617021,0.6227544910179641,94.0
27,0.7408906882591093,0.7093023255813954,0.7247524752475247,258.0
28,0.5121951219512195,0.5675675675675675,0.5384615384615384,37.0
29,0.8518518518518519,0.8961038961038961,0.8734177215189873,154.0
30,0.5465116279069767,0.6438356164383562,0.5911949685534591,73.0
31,0.6571428571428571,0.5564516129032258,0.6026200873362444,124.0
32,0.543859649122807,0.6078431372549019,0.5740740740740741,51.0
33,0.7651245551601423,0.7624113475177305,0.763765541740675,282.0
34,0.6807511737089202,0.7631578947368421,0.7196029776674938,190.0
35,0.15789473684210525,0.10714285714285714,0.1276595744680851,28.0
36,0.6209677419354839,0.7938144329896907,0.6968325791855203,97.0
37,0.6521739130434783,0.8333333333333334,0.7317073170731708,54.0
38,0.54,0.6585365853658537,0.5934065934065934,41.0
39,0.8287292817679558,0.8064516129032258,0.8174386920980926,186.0
40,0.7692307692307693,0.7608695652173914,0.7650273224043715,92.0
41,0.7636363636363637,0.6176470588235294,0.6829268292682927,68.0
42,0.44680851063829785,0.6774193548387096,0.5384615384615384,31.0
43,0.4444444444444444,0.47058823529411764,0.45714285714285713,17.0
44,0.7083333333333334,0.7906976744186046,0.7472527472527473,43.0
45,0.6521739130434783,0.6147540983606558,0.6329113924050632,122.0
46,0.6,0.525,0.56,40.0
47,0.7619047619047619,0.6666666666666666,0.7111111111111111,24.0
48,0.69375,0.6032608695652174,0.6453488372093023,184.0
49,0.7230769230769231,0.5,0.5911949685534591,94.0
50,0.65,0.5416666666666666,0.5909090909090908,24.0
51,0.6851851851851852,0.7184466019417476,0.7014218009478673,206.0
52,0.6344827586206897,0.5575757575757576,0.5935483870967744,165.0
53,0.8446601941747572,0.8130841121495327,0.8285714285714285,214.0
54,0.34782608695652173,0.24242424242424243,0.28571428571428575,33.0
55,0.740506329113924,0.75,0.7452229299363057,156.0
56,0.7115384615384616,0.6915887850467289,0.7014218009478673,107.0
57,0.7293729372937293,0.7222222222222222,0.7257799671592774,306.0
58,0.47368421052631576,0.6428571428571429,0.5454545454545454,70.0
59,0.7714285714285715,0.8181818181818182,0.7941176470588236,99.0
60,0.66,0.868421052631579,0.7500000000000001,38.0
61,0.578125,0.5068493150684932,0.5401459854014599,73.0
62,0.6486486486486487,0.4444444444444444,0.5274725274725275,54.0
63,0.6190476190476191,0.6770833333333334,0.6467661691542288,96.0
64,0.5660377358490566,0.625,0.594059405940594,48.0
65,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0
66,0.53125,0.37777777777777777,0.4415584415584416,45.0
67,0.2727272727272727,0.32142857142857145,0.2950819672131148,28.0
68,0.0,0.0,0.0,5.0
69,0.6363636363636364,0.7,0.6666666666666666,10.0
accuracy,0.6786589099816289,0.6786589099816289,0.6786589099816289,0.6786589099816289
macro avg,0.624741158885261,0.6318680592578769,0.6225029097408233,6532.0
weighted avg,0.6828625661659244,0.6786589099816289,0.6775973397061583,6532.0
minorities-f1,0.6406867178429638,0.6720355741235555,0.6473187098159301,85.1
