trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1
0,GIN,VirtualClassNode(),,3.039701360600338,0.0394472128797342,0.0001,0.0054567648337872,0.942653830054416,0.3593815,0.1407297096053611,1.4990989,0.1227582722909825,0.1284994649152247,,0.9778625965118408,0.1666160225868225,0.1439847708888409,0.1109869526640844
1,GIN,VirtualClassNode(),,1.7836855259675846,0.0001765131922279,0.01,0.001781158582873,0.9885307660108832,0.079283058643341,0.2040208488458674,0.0273240730166435,0.1895680727456428,0.2154333303866004,,0.9965587258338928,0.2021147608757019,0.2203280062560264,0.1382807271415027
2,GIN,VirtualClassNode(),,1.6462133382154551,0.0018263427870002,1e-06,0.0005726491195623,0.9741314357471744,0.308978408575058,0.0337552742616033,16.923864364624023,0.0301843899974741,0.0295214300158422,,0.3661950528621673,0.1621084809303283,0.0138800551537196,0.0594947930611993
3,GIN,UnidirectionalVirtualClassNode(),,5.874969735299228,0.0542855190938599,0.001,0.000836185734178,0.3572205943909585,3.055037021636963,0.2062546537602382,43.732872009277344,0.2033341752967921,0.2113927015492381,,0.8240298628807068,0.4175038337707519,0.2504189656724777,0.1527576735649717
4,GIN,VirtualClassNode(),,0.4257032763503444,0.368175298850464,0.001,0.0077254718091601,0.949434910004186,-0.5690217018127441,0.1506577314470092,-0.6735560894012451,0.1343773680222278,0.1385933839623166,,0.8738269209861755,0.1652973890304565,0.1540336660366069,0.1164085619423141
5,GIN,VirtualClassNode(),,2.436486923174466,0.170316980074684,0.0,0.006583779547894,0.8137295939723734,1.0004098415374756,0.119632663191859,0.8182080984115601,0.1015407931295781,0.1242925702899375,,0.9407495856285096,0.1801555752754211,0.1275546396198268,0.1148754389862693
6,GIN,VirtualClassNode(),,9.576161626592327,0.7082219883433123,1e-06,0.0090139619412988,0.7455839263290079,2.148515224456787,0.1250930752047654,3.942645072937012,0.1083606971457438,0.1034438712820855,,0.954853057861328,0.1874576210975647,0.1262962857540881,0.0818373881361059
7,GIN,UnidirectionalVirtualClassNode(),,8.108919214857945,0.0013166999211218,1e-06,0.0021088560638105,0.4975303474257011,2.2263011932373047,0.4251675353685778,15.78566837310791,0.4132356655721141,0.311479370722215,,0.9068021178245544,0.5125609636306763,0.3913727297661435,0.1473286547611555
8,GIN,UnidirectionalVirtualClassNode(),,8.705005575437042,2.382232383957732e-05,0.001,0.0027505377401818,0.3434910004185851,2.7980754375457764,0.3365599404318689,3.5282719135284424,0.3260924475877746,0.2462151424129724,,0.916034996509552,0.3741965889930725,0.3227089050751454,0.1269561712322504
9,GIN,UnidirectionalVirtualClassNode(),,3.6511330798440382,0.0557017557503947,0.001,0.0028505686510729,0.3493511929677689,2.902996778488159,0.3616281955820303,8.920408248901367,0.3465521596362718,0.2559964945825975,,0.9164149165153505,0.4143452644348144,0.3359065092568595,0.1537862227799682
