trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
50,GraphSAGE,VirtualClassNode(),,5.514985326,0.017652113,0.001,0.002640869,0.98334031,0.056703873,0.672127079,0.010628114,0.664561758,0.60834849,,0.796321332,0.507736802,0.662201008,0.49240582,
11,GraphSAGE,UnidirectionalVirtualClassNode(),,9.610922558,0.001197486,0.001,0.001187163,0.894851402,0.331080258,0.705634152,0.039517328,0.697650922,0.636219639,,0.797852218,0.479150236,0.694789347,0.490066269,
22,GraphSAGE,UnidirectionalVirtualClassNode(),,7.750902447,0.005586602,0.001,0.001924684,0.89577229,0.322365999,0.711094564,0.036235407,0.697903511,0.636152636,,0.815515459,0.482850611,0.694659196,0.487949193,
69,GraphSAGE,UnidirectionalVirtualClassNode(),,6.997918706,0.014097948,0.001,0.003071623,0.863206362,0.433039814,0.709605361,0.066027462,0.698029806,0.635998042,,0.849960923,0.502110481,0.695476017,0.477463184,
97,GraphSAGE,UnidirectionalVirtualClassNode(),,7.050247791,0.00354348,0.001,0.001979992,0.88840519,0.345733196,0.707867957,0.044549223,0.698661278,0.635773718,,0.821562588,0.488198102,0.695879279,0.484184065,
1,GraphSAGE,UnidirectionalVirtualClassNode(),,9.611671888,0.01037448,0.001,0.001192096,0.843114274,0.499820977,0.705882353,0.135629073,0.697903511,0.63501242,,0.783207536,0.473387003,0.694886356,0.476096389,
19,GraphSAGE,UnidirectionalVirtualClassNode(),,9.059155128,1.37E-05,0.001,0.001008722,0.893260779,0.331057012,0.706626955,0.043410458,0.697145744,0.633863263,,0.809553564,0.486730397,0.693572543,0.468769944,
5,GraphSAGE,UnidirectionalVirtualClassNode(),,4.235052364,9.73E-05,0.0001,0.006773108,0.981498535,0.055173911,0.701414743,0.000453923,0.693104319,0.633761001,,0.842623055,0.454805076,0.690150881,0.495422713,
43,GraphSAGE,UnidirectionalVirtualClassNode(),,9.384242059,0.003928859,0.001,0.001322903,0.886312265,0.357105017,0.706378754,0.051419131,0.696514271,0.63323052,,0.792557299,0.474600285,0.693518237,0.480314623,
14,GraphSAGE,UnidirectionalVirtualClassNode(),,8.46881583,0.000298392,0.001,0.003395406,0.91017162,0.281870604,0.703648548,0.025176605,0.696135388,0.632192391,,0.7798329,0.455378026,0.692191397,0.473053672,
80,GraphSAGE,UnidirectionalVirtualClassNode(),,8.140427866,0.010592739,0,0.004842008,0.987609879,0.036073368,0.701166543,-0.001238405,0.691462491,0.631266595,,0.878566444,0.460172623,0.688530093,0.479587913,
38,GraphSAGE,UnidirectionalVirtualClassNode(),,8.226037067,0.012326617,0.0001,0.001550746,0.975889494,0.072523333,0.700918342,0.002704846,0.689820662,0.630558622,,0.877030432,0.478625149,0.687275908,0.497822166,
57,GraphSAGE,UnidirectionalVirtualClassNode(),,5.535665631,0.029405618,0.0001,0.004186841,0.978568439,0.052462444,0.69992554,-0.008965026,0.69171508,0.629741444,,0.90436089,0.476110727,0.689070012,0.469187985,
79,GraphSAGE,UnidirectionalVirtualClassNode(),,5.885437769,0.004170093,0.0001,0.002866301,0.982335705,0.057634246,0.694713328,0.003215742,0.689568073,0.629572182,,0.865202427,0.466453314,0.687173876,0.484220545,
44,GraphSAGE,UnidirectionalVirtualClassNode(),,8.46872538,0.001596965,0.0001,0.002011074,0.975303474,0.080109037,0.699429139,0.003328587,0.689568073,0.629298043,,0.834077179,0.464207381,0.686908182,0.478476583,
89,GraphSAGE,UnidirectionalVirtualClassNode(),,9.724279456,0.019327855,1.00E-05,0.003874717,0.986688991,0.038706467,0.699180938,-0.003503192,0.689946956,0.628847672,,0.883645952,0.465171367,0.686951774,0.47175369,
36,GraphSAGE,UnidirectionalVirtualClassNode(),,6.274791365,0.079608266,1.00E-06,0.002419715,0.973964002,0.070199668,0.697443534,-0.008074717,0.687421066,0.62883771,,0.885614693,0.472702414,0.684831641,0.488110113,
74,GraphSAGE,UnidirectionalVirtualClassNode(),,6.717504818,0.011466761,1.00E-05,0.003656173,0.98501465,0.043500468,0.697939935,-0.001552197,0.689820662,0.628773113,,0.898146451,0.470586121,0.686933219,0.462846895,
28,GraphSAGE,UnidirectionalVirtualClassNode(),,9.147037025,0.000573365,0,0.005073835,0.983089159,0.05304173,0.697939935,0.0008515,0.686158121,0.627902917,,0.80662173,0.429006249,0.682783342,0.498506865,
26,GraphSAGE,UnidirectionalVirtualClassNode(),,7.541383966,0.006957458,1.00E-06,0.002382824,0.982168271,0.055939846,0.696947133,0.00309013,0.687926244,0.627361342,,0.867862046,0.463164508,0.685598346,0.481702934,
70,GraphSAGE,VirtualClassNode(),,6.2583301,0.019347253,0.001,0.003933522,0.63616576,12.21298409,0.246959543,54.79188538,0.243622127,0.208356234,,0.553862929,0.361221254,0.250181913,0.092834329,
48,GraphSAGE,UnidirectionalVirtualClassNode(),,9.281037966,0.000481152,1.00E-05,0.002126436,0.980661365,0.058155444,0.696698933,0.000987367,0.686158121,0.62617182,,0.819911778,0.449029475,0.683280496,0.482378204,
40,GraphSAGE,UnidirectionalVirtualClassNode(),,6.154572581,0.000114089,1.00E-06,0.002162055,0.981582252,0.059961434,0.693968727,0.000586965,0.684642587,0.62596053,,0.820128083,0.447787672,0.682356663,0.492064632,
67,GraphSAGE,UnidirectionalVirtualClassNode(),,5.902788169,0.02555919,1.00E-06,0.00336827,0.976642947,0.071379118,0.69074212,-0.004325454,0.686158121,0.6258786,,0.91300416,0.485561132,0.683559179,0.4558108,
27,GraphSAGE,UnidirectionalVirtualClassNode(),,8.803052197,0.001424791,1.00E-05,0.003692093,0.988614483,0.03337067,0.693472326,0.001211812,0.684263703,0.625727163,,0.824818611,0.432931393,0.682153734,0.49061296,
60,GraphSAGE,UnidirectionalVirtualClassNode(),,7.672174588,0.08895065,0,0.00298003,0.982251988,-0.010079007,0.693720526,-0.066506602,0.685905532,0.625284559,,0.98198992,0.495470107,0.683730415,0.465673296,
47,GraphSAGE,UnidirectionalVirtualClassNode(),,9.948730794,0.0031517,0,0.001297241,0.974466304,0.07868547,0.696450732,0.004722596,0.686915888,0.623116027,,0.822151184,0.456912398,0.68463779,0.473939807,
16,GraphSAGE,UnidirectionalVirtualClassNode(),,8.409036923,0.004638424,0,0.000725408,0.946755965,0.167185828,0.685033507,0.014456348,0.680601162,0.614302913,,0.809967518,0.462144822,0.677512386,0.452253837,
10,GraphSAGE,UnidirectionalVirtualClassNode(),,3.190503966,0.000591882,0,0.000531348,0.967182922,0.09968894,0.685529908,0.003599635,0.676938621,0.612475858,,0.770547152,0.441551954,0.673172925,0.469351396,
29,GraphSAGE,UnidirectionalVirtualClassNode(),,6.981886523,0.012445958,0.01,0.003038997,0.549267476,1.670288324,0.645073219,1.234333754,0.640439505,0.55948423,,0.72603339,0.496732444,0.633727259,0.42006967,
