trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
36,GIN,VirtualClassNode(),,2.201750002,0.00063924,0.0001,0.000835031,0.971285057,0.291244417,0.037726483,17.60677528,0.033846931,0.046335413,,0.9790445566177368,0.2671647071838379,0.023657585,0.082139481,
16,GIN,UnidirectionalVirtualClassNode(),,4.403969936,4e-05,1e-05,0.000532623,0.928338217,0.206355453,0.674857285,0.094811246,0.664182874,0.60288475,,0.9857377409934998,0.35011792182922363,0.662413048,0.434351486,
38,GIN,VirtualClassNode(),,3.218504784,0.000114463,0.0,0.000586602,0.978484722,0.274198562,0.032762472,15.31181335,0.029426623,0.03274164,,0.975335955619812,0.25385648012161255,0.015833548,0.09307858,
70,GIN,UnidirectionalVirtualClassNode(),,6.01475787,0.000146212,0.001,0.000511806,0.891586438,0.299152166,0.673119881,0.131401271,0.665572114,0.60285391,,0.9706530570983887,0.3320496082305908,0.663223318,0.442045886,
55,GIN,UnidirectionalVirtualClassNode(),,3.929104164,0.000157836,1e-05,0.000752823,0.955127668,0.124263309,0.668900472,0.054716464,0.661783279,0.602824845,,0.99369215965271,0.23516499996185303,0.659611448,0.435357155,
91,GIN,UnidirectionalVirtualClassNode(),,4.755137029,7.04e-05,0.001,0.000611123,0.919129343,0.222167239,0.669396873,0.096517757,0.660015155,0.602762373,,0.9962172508239746,0.21760529279708862,0.658136627,0.465129082,
87,GIN,UnidirectionalVirtualClassNode(),,4.546762108,3.92e-05,0.001,0.000749105,0.925156969,0.206358507,0.669396873,0.094057769,0.659888861,0.602703889,,0.9936259388923645,0.21870487928390503,0.658902278,0.450891499,
19,GIN,UnidirectionalVirtualClassNode(),,4.982749727,1.47e-05,0.0001,0.000659897,0.960987861,0.10660354,0.670886076,0.045462549,0.659888861,0.602279897,,0.9882128834724426,0.3415873646736145,0.658227776,0.465368022,
41,GIN,UnidirectionalVirtualClassNode(),,4.814657631,4.08e-05,1e-05,0.000568919,0.964503977,0.093488835,0.666666667,0.041702054,0.659636272,0.602270554,,0.997104287147522,0.24222713708877563,0.657784482,0.466522473,
32,GIN,UnidirectionalVirtualClassNode(),,4.219378154,7.17e-05,1e-05,0.000591902,0.967015488,0.088765167,0.66840407,0.040044755,0.661656984,0.602199087,,0.9942687749862671,0.26513129472732544,0.6602601,0.439757781,
46,GIN,VirtualClassNode(),,6.375961579,0.000198839,0.001,0.001070108,0.95989954,0.455445468,0.050384711,15.67712688,0.045339732,0.061085547,,0.9813855886459351,0.2746475338935852,0.045739434,0.058934252,
82,GIN,UnidirectionalVirtualClassNode(),,4.439371267,2.61e-05,0.001,0.000505389,0.948430306,0.146116197,0.664432862,0.063452505,0.658120738,0.601930608,,0.9808886051177979,0.3362193703651428,0.657009627,0.445414119,
66,GIN,UnidirectionalVirtualClassNode(),,5.186901801,3.32e-05,0.001,0.00097803,0.91017162,0.252682,0.667659469,0.125384688,0.659383683,0.601377801,,0.9915771484375,0.2305980920791626,0.658468096,0.456742369,
24,GIN,UnidirectionalVirtualClassNode(),,5.742178503,3.72e-05,0.0001,0.000973828,0.957471746,0.117033564,0.667659469,0.0502382,0.660267744,0.600914948,,0.9879738688468933,0.3403291702270508,0.658452546,0.448710047,
83,GIN,UnidirectionalVirtualClassNode(),,4.979457285,2.49e-05,0.001,0.000579228,0.935705316,0.17709969,0.669396873,0.073326014,0.658247032,0.600760464,,0.9822331666946411,0.31878232955932617,0.656388112,0.458858535,
52,GIN,UnidirectionalVirtualClassNode(),,5.278151537,5.29e-05,1e-05,0.000724396,0.911511093,0.252797872,0.672375279,0.118074305,0.662288457,0.600693298,,0.9955689907073975,0.2675347328186035,0.660151004,0.432243534,
20,GIN,UnidirectionalVirtualClassNode(),,5.701052791,1.01e-05,0.0001,0.000975668,0.964503977,0.0955109,0.66840407,0.042551287,0.65875221,0.600299959,,0.9940950870513916,0.25469058752059937,0.657252901,0.447978983,
80,GIN,UnidirectionalVirtualClassNode(),,4.798516313,1.99e-05,0.001,0.000546047,0.940979489,0.168354422,0.664929263,0.070220202,0.659383683,0.599639554,,0.9955198168754578,0.2211623191833496,0.657564293,0.443500433,
44,GIN,UnidirectionalVirtualClassNode(),,5.997507894,2.47e-05,1e-05,0.000577333,0.94123064,0.161209002,0.667907669,0.065764457,0.657741854,0.598744153,,0.9849869012832642,0.31232255697250366,0.655936948,0.452604001,
31,GIN,UnidirectionalVirtualClassNode(),,4.417238426,3.65e-05,1e-05,0.000500115,0.935537882,0.184249818,0.668900472,0.075128533,0.658878505,0.598575192,,0.9953934550285339,0.23273831605911255,0.657481007,0.455021233,
48,GIN,UnidirectionalVirtualClassNode(),,5.005785839,1.71e-05,0.0001,0.001319869,0.943658434,0.160602614,0.665922065,0.180277869,0.658499621,0.598375699,,0.9951325058937073,0.2690950036048889,0.656630632,0.455580629,
93,GIN,UnidirectionalVirtualClassNode(),,6.236429455,2.49e-05,0.001,0.000568316,0.951109251,0.130531698,0.660461653,0.055056486,0.65344784,0.597813371,,0.9901641607284546,0.3404465913772583,0.651617106,0.44464989,
86,GIN,UnidirectionalVirtualClassNode(),,4.964242199,3.19e-05,0.001,0.000529576,0.952867308,0.129024416,0.667659469,0.057463877,0.65622632,0.597690394,,0.9951950907707214,0.2649044394493103,0.654639535,0.442239087,
97,GIN,UnidirectionalVirtualClassNode(),,5.390241216,1.06e-05,0.001,0.00068149,0.868480536,0.385325402,0.665673864,0.242809623,0.656984087,0.597621856,,0.9962809681892395,0.2167041301727295,0.657425176,0.442891944,
60,GIN,VirtualClassNode(),,6.693903456,1.03e-05,0.0001,0.00082679,0.941900377,0.707186282,0.035492678,25.97909927,0.031952513,0.048190619,,0.9792795777320862,0.2741479277610779,0.032532309,0.049678675,
