trial,model,virtualnode,vnode_init,temperature,constrative coef,gaussian_noise_scale,lr,train_acc,train_loss,val_acc,val_loss,test_acc,macro f1,micro f1minor f1,mad,madgap,micro f1,minor f1,positive_sampling
0,GIN,VirtualClassNode(),,3.039701361,0.039447213,0.0001,0.005456765,0.94265383,0.3593815,0.14072971,1.4990989,0.122758272,0.128499465,,0.977862597,0.166616023,0.143984771,0.110986953,
1,GIN,VirtualClassNode(),,1.783685526,0.000176513,0.01,0.001781159,0.988530766,0.079283059,0.204020849,0.027324073,0.189568073,0.21543333,,0.996558726,0.202114761,0.220328006,0.138280727,
2,GIN,VirtualClassNode(),,1.646213338,0.001826343,1.00E-06,0.000572649,0.974131436,0.308978409,0.033755274,16.92386436,0.03018439,0.02952143,,0.366195053,0.162108481,0.013880055,0.059494793,
79,GIN,UnidirectionalVirtualClassNode(),,4.88466204,2.26E-05,0.001,0.000563058,0.887484303,0.316310227,0.680565897,0.160550907,0.6704976,0.614726123,,0.982091308,0.436326504,0.667646598,0.466313949,FALSE
4,GIN,VirtualClassNode(),,0.425703276,0.368175299,0.001,0.007725472,0.94943491,-0.569021702,0.150657731,-0.673556089,0.134377368,0.138593384,,0.873826921,0.165297389,0.154033666,0.116408562,
5,GIN,VirtualClassNode(),,2.436486923,0.17031698,0,0.00658378,0.813729594,1.000409842,0.119632663,0.818208098,0.101540793,0.12429257,,0.940749586,0.180155575,0.12755464,0.114875439,
6,GIN,VirtualClassNode(),,9.576161627,0.708221988,1.00E-06,0.009013962,0.745583926,2.148515224,0.125093075,3.942645073,0.108360697,0.103443871,,0.954853058,0.187457621,0.126296286,0.081837388,
71,GIN,UnidirectionalVirtualClassNode(),,5.043144719,5.82E-05,0.001,0.000652634,0.861197154,0.397098541,0.682799702,0.213716879,0.674033847,0.614633422,,0.98379463,0.450157732,0.672247231,0.453705438,TRUE
73,GIN,UnidirectionalVirtualClassNode(),,4.929189157,2.18E-05,0.001,0.000597347,0.885558811,0.319919527,0.683792504,0.153798357,0.673402374,0.614587487,,0.984687209,0.43606925,0.671025279,0.445321139,TRUE
94,GIN,UnidirectionalVirtualClassNode(),,5.031953786,1.09E-05,0.001,0.000660259,0.810799498,0.565236211,0.684785307,0.373730004,0.674160141,0.613910915,,0.976205349,0.485593289,0.670952132,0.47101269,FALSE
56,GIN,UnidirectionalVirtualClassNode(),,5.104745398,4.70E-05,0.0001,0.000665829,0.895269987,0.295888305,0.677835691,0.153208762,0.668729477,0.611744985,,0.981742144,0.433687925,0.666545875,0.464477102,TRUE
99,GIN,UnidirectionalVirtualClassNode(),,4.849550659,1.68E-05,1.00E-06,0.000591263,0.883465885,0.328296691,0.677587491,0.184730321,0.667087648,0.611286193,,0.987405539,0.447323084,0.665337157,0.462516244,FALSE
95,GIN,UnidirectionalVirtualClassNode(),,5.036965895,1.05E-05,0.001,0.000669128,0.897697781,0.294702291,0.676842889,0.178611144,0.669613539,0.611044487,,0.981253624,0.431638241,0.66729682,0.450775516,FALSE
14,GIN,UnidirectionalVirtualClassNode(),,4.846947124,0.00028393,1.00E-05,0.001091813,0.916785266,0.233718559,0.673864483,0.105019055,0.667719121,0.610722525,,0.98345226,0.412828445,0.665516695,0.463808491,TRUE
68,GIN,UnidirectionalVirtualClassNode(),,5.842354896,7.88E-05,0.001,0.000612608,0.906236919,0.260530829,0.671630678,0.118364587,0.66544582,0.610515981,,0.980224133,0.420584023,0.663069584,0.478982941,TRUE
51,GIN,UnidirectionalVirtualClassNode(),,5.234540897,5.56E-05,1.00E-05,0.000715399,0.888907493,0.317231536,0.677835691,0.174170151,0.672518313,0.60997685,,0.984598875,0.442421317,0.669410463,0.442438226,TRUE
45,GIN,UnidirectionalVirtualClassNode(),,5.45974458,4.27E-05,1.00E-05,0.000784994,0.891586438,0.304179847,0.677587491,0.159918994,0.66797171,0.609963174,,0.982057929,0.426879108,0.667004656,0.439780735,TRUE
67,GIN,UnidirectionalVirtualClassNode(),,5.683733773,5.74E-05,0.001,0.00062592,0.865969025,0.377611548,0.681558699,0.1998436,0.668729477,0.609764669,,0.97121799,0.435996681,0.666108712,0.459436307,TRUE
81,GIN,UnidirectionalVirtualClassNode(),,4.980029639,2.47E-05,0.001,0.0005953,0.911176224,0.254665941,0.678828493,0.114336871,0.664688053,0.609014862,,0.983284891,0.409589767,0.663355918,0.474466695,FALSE
72,GIN,UnidirectionalVirtualClassNode(),,5.207114589,5.49E-05,0.001,0.000595245,0.881540393,0.331364185,0.677835691,0.162920743,0.668603183,0.608583472,,0.982822955,0.433222175,0.665890104,0.452867515,
74,GIN,UnidirectionalVirtualClassNode(),,4.435122945,2.03E-05,0.001,0.000538337,0.902888238,0.268595934,0.676098287,0.117549419,0.667087648,0.608278822,,0.984670758,0.418616593,0.665234558,0.461219824,
92,GIN,UnidirectionalVirtualClassNode(),,6.22131496,2.60E-05,0.001,0.000565223,0.893679364,0.297986031,0.681558699,0.145870596,0.666835059,0.608110599,,0.98500216,0.429053664,0.665326281,0.453660957,
25,GIN,UnidirectionalVirtualClassNode(),,4.810955569,0.000145418,0.0001,0.000627487,0.933444956,0.187589392,0.674609084,0.079655908,0.665572114,0.607985808,,0.984078228,0.40017426,0.664045318,0.477473137,
65,GIN,UnidirectionalVirtualClassNode(),,5.223193821,2.98E-05,0.001,0.000626899,0.936375052,0.174067795,0.670886076,0.072381057,0.661909573,0.607869538,,0.976722002,0.388591826,0.660007158,0.468321691,
64,GIN,UnidirectionalVirtualClassNode(),,4.999936335,2.82E-05,1.00E-05,0.00075597,0.957471746,0.115786508,0.675105485,0.051191118,0.665319525,0.607621973,,0.984051287,0.369983494,0.663675039,0.460694869,
89,GIN,UnidirectionalVirtualClassNode(),,5.420688883,4.32E-05,0.001,0.000629041,0.925826706,0.210346431,0.671134276,0.097319931,0.663172518,0.606835533,,0.984156787,0.405920565,0.661440082,0.451621266,
98,GIN,UnidirectionalVirtualClassNode(),,5.141738097,1.41E-05,0.001,0.000783991,0.884303056,0.358357131,0.676098287,0.182001933,0.666329881,0.606804216,,0.979545832,0.426920235,0.664776565,0.455630204,
33,GIN,UnidirectionalVirtualClassNode(),,2.801213459,0.00025568,1.00E-05,0.000749973,0.964085391,0.094265446,0.670637875,0.043105166,0.662035868,0.606030075,,0.981627166,0.363879025,0.660154497,0.460665034,
77,GIN,UnidirectionalVirtualClassNode(),,4.890943041,2.30E-05,0.001,0.000578908,0.912348263,0.23692821,0.678580293,0.110599495,0.664182874,0.605866963,,0.982540369,0.420473337,0.662396558,0.457384929,
29,GIN,VirtualClassNode(),,3.370696579,1.16E-05,0.0001,0.000815306,0.940477187,0.796047032,0.025812857,34.28742981,0.026142965,0.03553181,,0.579837143,0.242942184,0.02377382,0.06459965,
75,GIN,UnidirectionalVirtualClassNode(),,4.526383372,2.03E-05,0.001,0.000537628,0.909585601,0.254821002,0.674360884,0.111868016,0.665319525,0.604895217,,0.980408072,0.41864574,0.662797188,0.446538261,
96,GIN,UnidirectionalVirtualClassNode(),,5.641136874,1.15E-05,0.001,0.000662787,0.9169527,0.227181852,0.666914867,0.101326473,0.660646628,0.604195079,,0.978782773,0.404064894,0.658998079,0.451452476,
21,GIN,UnidirectionalVirtualClassNode(),,4.758511693,3.63E-05,0.0001,0.000670233,0.962411051,0.095711172,0.671382477,0.041969273,0.661151806,0.604085402,,0.982123613,0.361188352,0.659933578,0.469039959,
23,GIN,UnidirectionalVirtualClassNode(),,3.761173993,1.23E-05,0.0001,0.000676595,0.964169108,0.095411271,0.671630678,0.04233053,0.660646628,0.603479518,,0.983018816,0.364336848,0.659090613,0.476193857,
34,GIN,VirtualClassNode(),,2.882170418,0.000341815,1.00E-05,0.000793294,0.979405609,0.263905674,0.028543063,18.85309219,0.026648143,0.031045503,,0.485088289,0.216938674,0.016217773,0.074518585,
15,GIN,UnidirectionalVirtualClassNode(),,5.159878729,0.000140494,1.00E-05,0.000908829,0.965843449,0.093637146,0.670389675,0.043249566,0.66153069,0.603257093,,0.978622019,0.357528567,0.659404926,0.453897694,
36,GIN,VirtualClassNode(),,2.201750002,0.00063924,0.0001,0.000835031,0.971285057,0.291244417,0.037726483,17.60677528,0.033846931,0.046335413,,0.499989182,0.21506685,0.023657585,0.082139481,
16,GIN,UnidirectionalVirtualClassNode(),,4.403969936,4.00E-05,1.00E-05,0.000532623,0.928338217,0.206355453,0.674857285,0.094811246,0.664182874,0.60288475,,0.984608531,0.415005445,0.662413048,0.434351486,
38,GIN,VirtualClassNode(),,3.218504784,0.000114463,0,0.000586602,0.978484722,0.274198562,0.032762472,15.31181335,0.029426623,0.03274164,,0.428727061,0.203480095,0.015833548,0.09307858,
70,GIN,UnidirectionalVirtualClassNode(),,6.01475787,0.000146212,0.001,0.000511806,0.891586438,0.299152166,0.673119881,0.131401271,0.665572114,0.60285391,,0.979820251,0.423472643,0.663223318,0.442045886,
55,GIN,UnidirectionalVirtualClassNode(),,3.929104164,0.000157836,1.00E-05,0.000752823,0.955127668,0.124263309,0.668900472,0.054716464,0.661783279,0.602824845,,0.981442094,0.373381436,0.659611448,0.435357155,
91,GIN,UnidirectionalVirtualClassNode(),,4.755137029,7.04E-05,0.001,0.000611123,0.919129343,0.222167239,0.669396873,0.096517757,0.660015155,0.602762373,,0.983534992,0.40423429,0.658136627,0.465129082,
87,GIN,UnidirectionalVirtualClassNode(),,4.546762108,3.92E-05,0.001,0.000749105,0.925156969,0.206358507,0.669396873,0.094057769,0.659888861,0.602703889,,0.981512427,0.395526767,0.658902278,0.450891499,
19,GIN,UnidirectionalVirtualClassNode(),,4.982749727,1.47E-05,0.0001,0.000659897,0.960987861,0.10660354,0.670886076,0.045462549,0.659888861,0.602279897,,0.983938634,0.372263849,0.658227776,0.465368022,
41,GIN,UnidirectionalVirtualClassNode(),,4.814657631,4.08E-05,1.00E-05,0.000568919,0.964503977,0.093488835,0.666666667,0.041702054,0.659636272,0.602270554,,0.985174239,0.366179287,0.657784482,0.466522473,
32,GIN,UnidirectionalVirtualClassNode(),,4.219378154,7.17E-05,1.00E-05,0.000591902,0.967015488,0.088765167,0.66840407,0.040044755,0.661656984,0.602199087,,0.981300831,0.362876952,0.6602601,0.439757781,
46,GIN,VirtualClassNode(),,6.375961579,0.000198839,0.001,0.001070108,0.95989954,0.455445468,0.050384711,15.67712688,0.045339732,0.061085547,,0.70592171,0.310306996,0.045739434,0.058934252,
82,GIN,UnidirectionalVirtualClassNode(),,4.439371267,2.61E-05,0.001,0.000505389,0.948430306,0.146116197,0.664432862,0.063452505,0.658120738,0.601930608,,0.98000592,0.377625287,0.657009627,0.445414119,
66,GIN,UnidirectionalVirtualClassNode(),,5.186901801,3.32E-05,0.001,0.00097803,0.91017162,0.252682,0.667659469,0.125384688,0.659383683,0.601377801,,0.976439714,0.397274077,0.658468096,0.456742369,
